artist,songs,max_pop,avg_pop,avg_duration,avg_tempo,avg_energy,avg_danceability,average_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,avg_mode,avg_key,avg_time_sig
Travis Bretzer,23,57,22.83,178697.00,126.71,0.65,0.42,-7.40,0.05,0.24,0.26,0.24,0.43,0.74,5.30,3.91
Travis Cottrell,9,50,38.22,320233.78,120.06,0.52,0.42,-7.21,0.04,0.00,0.37,0.11,0.21,1.00,5.00,3.44
Travis Denning,12,59,49.83,194780.33,110.01,0.84,0.57,-4.90,0.05,0.00,0.07,0.14,0.55,0.92,6.67,3.92
Travis Greene,95,51,25.38,302741.35,114.67,0.66,0.48,-6.77,0.08,0.00,0.24,0.25,0.39,0.94,6.28,3.78
Travis Larson Band,10,8,6.20,249410.40,123.44,0.78,0.49,-6.81,0.04,0.89,0.01,0.22,0.52,0.40,6.90,4.10
Travis Porter,4,65,53.00,223753.00,105.15,0.70,0.92,-5.09,0.14,0.00,0.10,0.17,0.51,0.25,5.75,4.00
Travis Scott,56,84,61.34,240960.82,128.51,0.64,0.69,-5.51,0.09,0.00,0.10,0.21,0.28,0.41,5.04,4.02
Travis Tritt,49,70,29.14,221052.76,122.41,0.61,0.57,-6.25,0.03,0.00,0.27,0.17,0.50,0.94,6.76,3.86
Travoltas,12,14,8.33,193011.25,126.46,0.87,0.46,-4.75,0.04,0.08,0.00,0.21,0.65,0.83,5.00,4.00
Trazendo a Arca,97,55,24.71,362012.01,124.76,0.64,0.48,-7.12,0.05,0.02,0.26,0.64,0.36,0.68,5.80,3.97
Trbl,6,22,20.83,329949.67,144.16,0.99,0.59,-7.60,0.05,0.83,0.02,0.11,0.34,0.67,4.50,3.83
Tre Oh Fie,40,43,16.28,139429.93,141.76,0.67,0.75,-9.00,0.14,0.26,0.11,0.16,0.50,0.48,4.85,4.00
Trea Landon,3,46,42.67,174073.67,106.01,0.75,0.62,-3.82,0.03,0.00,0.11,0.17,0.71,1.00,3.67,4.00
Tream,69,73,35.97,149181.16,145.61,0.75,0.68,-6.30,0.16,0.00,0.25,0.18,0.56,0.61,5.35,3.99
Treat,6,33,21.83,254503.17,133.21,0.94,0.46,-4.17,0.09,0.01,0.00,0.09,0.41,0.33,6.67,4.00
Trebol Clan,10,70,48.60,214589.00,117.12,0.74,0.73,-8.83,0.08,0.04,0.21,0.21,0.71,0.30,5.70,4.00
Tree Palm,3,34,31.67,185669.67,122.05,0.80,0.75,-7.34,0.34,0.00,0.10,0.33,0.73,1.00,4.33,4.00
Tree63,4,54,35.50,238740.00,117.01,0.73,0.52,-5.74,0.04,0.00,0.02,0.16,0.41,1.00,2.25,4.00
