artist,songs,max_pop,avg_pop,avg_duration,avg_tempo,avg_energy,avg_danceability,average_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,avg_mode,avg_key,avg_time_sig
"Black Country, New Road",18,57,38.28,389420.22,125.95,0.49,0.42,-9.77,0.04,0.32,0.27,0.15,0.25,0.83,5.56,3.50
Black Crown Initiate,29,38,19.59,354641.55,121.20,0.89,0.41,-5.92,0.09,0.43,0.00,0.23,0.14,0.72,5.86,3.66
Black Curse,7,26,20.00,328003.71,117.94,0.93,0.16,-5.41,0.13,0.92,0.00,0.24,0.07,0.71,6.43,4.00
Black Devil Disco Club,12,34,18.08,309496.83,127.75,0.80,0.63,-8.68,0.04,0.41,0.02,0.11,0.59,0.50,5.75,4.00
Black Diamond Heavies,22,31,12.64,226950.82,119.72,0.65,0.38,-9.24,0.04,0.19,0.14,0.21,0.37,0.55,6.23,3.91
Black Elephant,9,32,22.11,247573.89,109.71,0.64,0.31,-10.28,0.04,0.82,0.01,0.32,0.41,0.67,6.56,4.00
Black Eyed Peas,74,78,42.66,257234.46,111.99,0.71,0.79,-5.58,0.18,0.01,0.11,0.25,0.60,0.50,5.65,4.01
Black Eyed Vermillion,19,30,12.21,194875.05,113.77,0.75,0.50,-5.71,0.07,0.00,0.18,0.18,0.56,0.53,5.42,3.95
Black Eyes,20,37,15.80,195928.05,125.78,0.76,0.43,-8.87,0.11,0.32,0.08,0.31,0.44,0.60,5.45,4.00
Black Flag,64,52,16.42,176095.64,117.43,0.77,0.36,-11.76,0.08,0.29,0.09,0.33,0.41,0.67,4.95,3.84
Black Funeral,12,18,9.67,218785.58,105.27,0.85,0.13,-7.36,0.10,0.71,0.11,0.18,0.05,0.50,7.17,3.92
Black Hippy,3,48,39.67,255264.33,117.24,0.63,0.81,-8.58,0.21,0.00,0.24,0.34,0.49,0.00,9.33,4.00
Black Honey,4,48,43.00,192973.00,118.20,0.78,0.53,-6.26,0.04,0.01,0.01,0.30,0.53,0.25,8.25,4.00
Black Ivory,3,23,19.00,289112.33,123.34,0.69,0.41,-6.51,0.04,0.06,0.29,0.41,0.48,0.67,2.33,4.00
Black Joe Lewis & The Honeybears,45,47,23.09,206188.20,122.53,0.78,0.57,-5.13,0.05,0.22,0.09,0.19,0.74,0.64,5.98,3.89
Black Kids,7,44,25.86,233546.71,130.65,0.86,0.58,-4.88,0.05,0.00,0.01,0.28,0.73,0.29,3.86,4.00
Black Kray,29,47,31.66,193035.10,119.08,0.63,0.62,-7.25,0.14,0.07,0.34,0.29,0.21,0.66,4.00,3.79
Black Label Society,189,66,24.26,273978.58,123.94,0.77,0.41,-5.64,0.07,0.06,0.12,0.26,0.33,0.68,4.60,3.95
Black Legend,7,49,27.00,310223.14,125.42,0.93,0.67,-8.44,0.04,0.29,0.00,0.53,0.62,0.86,6.00,4.00
Black Light Burns,52,42,15.10,237417.12,125.16,0.85,0.47,-6.04,0.10,0.36,0.11,0.30,0.36,0.58,4.88,3.94
Black Light Smoke,11,36,22.64,389606.64,114.31,0.62,0.77,-10.71,0.06,0.77,0.04,0.10,0.46,0.27,5.09,4.00
Black Lips,128,48,15.91,168892.12,131.24,0.83,0.37,-5.26,0.07,0.24,0.15,0.28,0.52,0.70,6.18,3.88
Black Loops,29,41,25.72,359922.34,125.42,0.64,0.82,-9.31,0.08,0.72,0.02,0.12,0.63,0.45,6.21,4.00
Black Map,6,32,18.00,211522.17,155.99,0.93,0.42,-3.94,0.08,0.10,0.00,0.35,0.45,0.67,6.50,3.83
Black Marble,27,50,30.85,198746.44,141.39,0.66,0.54,-10.82,0.04,0.84,0.40,0.16,0.54,0.59,4.96,3.93
Black Math,21,45,33.95,184902.38,121.50,0.62,0.52,-7.49,0.08,0.03,0.15,0.16,0.31,0.48,6.00,3.95
Black Merda!,19,36,12.89,221456.58,113.42,0.48,0.56,-13.78,0.04,0.12,0.38,0.18,0.68,0.68,6.42,3.89
Black Messiah,9,31,18.89,325444.78,134.02,0.89,0.40,-5.09,0.06,0.31,0.07,0.26,0.35,0.67,6.56,3.89
black midi,32,49,36.97,282103.81,124.50,0.73,0.40,-6.92,0.13,0.22,0.13,0.26,0.32,0.72,4.81,3.91
Black Milk,5,41,34.60,172069.80,91.53,0.80,0.47,-4.94,0.23,0.15,0.10,0.29,0.65,0.60,8.40,4.00
Black Mirrors,3,30,24.00,199594.67,104.22,0.79,0.42,-5.68,0.05,0.03,0.08,0.22,0.38,0.67,3.67,4.00
Black Moon,9,35,25.00,274607.44,101.50,0.61,0.70,-10.19,0.25,0.00,0.12,0.18,0.61,0.67,6.33,4.00
Black Moth Super Rainbow,105,46,20.59,164799.04,117.93,0.66,0.45,-7.15,0.06,0.57,0.46,0.22,0.40,0.67,4.61,3.84
Black Mountain,39,43,17.87,329288.95,119.32,0.63,0.41,-8.15,0.05,0.42,0.15,0.16,0.37,0.72,4.87,3.77
Black 'N Blue,14,26,13.93,243245.79,119.54,0.91,0.51,-5.38,0.06,0.00,0.02,0.17,0.41,0.86,7.07,4.00
Black Nail Cabaret,5,33,23.20,257776.00,120.00,0.69,0.67,-9.99,0.03,0.22,0.03,0.16,0.41,0.80,2.60,4.00
Black Oak Arkansas,14,25,11.07,233596.29,142.59,0.80,0.41,-9.72,0.07,0.11,0.23,0.43,0.71,0.93,3.50,4.00
Black Oak County,10,36,25.80,224506.70,150.32,0.90,0.44,-6.38,0.06,0.02,0.00,0.13,0.56,0.40,5.40,4.00
Black Paisley,3,41,27.67,254886.33,139.95,0.84,0.48,-6.09,0.04,0.00,0.00,0.24,0.46,0.67,4.00,4.00
Black Pantera,5,32,26.40,217395.60,125.77,0.96,0.44,-6.34,0.13,0.01,0.01,0.34,0.29,1.00,4.20,3.80
bLAck pARty,7,54,45.43,202069.71,116.54,0.51,0.77,-7.92,0.17,0.02,0.41,0.23,0.58,0.14,7.00,3.86
Black Pistol Fire,77,53,26.77,196235.95,123.27,0.81,0.41,-5.78,0.10,0.04,0.11,0.18,0.42,0.53,6.12,3.99
Black Pumas,19,67,43.11,257785.79,123.97,0.58,0.60,-8.17,0.05,0.01,0.33,0.19,0.63,0.37,5.63,3.89
Black Pyramid,12,41,17.50,334419.92,123.46,0.80,0.39,-7.92,0.05,0.52,0.00,0.22,0.41,0.67,4.42,3.83
Black Rainbows,21,44,25.14,270722.14,124.96,0.78,0.30,-6.18,0.06,0.58,0.00,0.18,0.33,0.67,4.05,3.95
Black Raven,3,30,25.33,203762.00,111.46,0.81,0.68,-6.87,0.05,0.00,0.36,0.11,0.72,0.67,5.33,4.00
Black Rebel Motorcycle Club,102,59,21.91,285032.20,120.72,0.76,0.39,-6.09,0.05,0.29,0.18,0.19,0.35,0.65,5.04,3.92
Black River Delta,8,30,22.38,215306.00,100.51,0.69,0.35,-6.08,0.06,0.00,0.06,0.19,0.44,0.88,5.38,4.00
Black Rob,19,58,23.63,258581.63,91.53,0.73,0.73,-6.55,0.25,0.00,0.12,0.22,0.58,0.68,5.84,4.00
Black Roots,4,26,20.25,223144.50,117.21,0.48,0.82,-13.07,0.07,0.22,0.06,0.10,0.77,0.50,4.75,4.00
Black Ryno,8,18,13.50,177623.00,96.10,0.78,0.68,-6.06,0.22,0.00,0.18,0.25,0.55,0.38,7.25,4.13
Black Sabbath,150,58,22.46,332771.77,124.93,0.72,0.35,-9.24,0.05,0.07,0.06,0.27,0.41,0.63,5.09,3.97
Black Saint,9,37,26.67,206127.67,124.23,0.71,0.76,-6.05,0.13,0.00,0.04,0.13,0.64,0.44,6.89,4.00
Black Spiders,4,28,24.75,233656.00,149.08,0.95,0.42,-2.14,0.07,0.00,0.00,0.29,0.65,0.75,5.75,4.00
Black Star,5,41,26.20,253117.60,127.22,0.84,0.62,-4.62,0.33,0.00,0.18,0.24,0.61,0.20,4.60,4.00
Black Star Riders,27,38,27.96,231629.22,138.87,0.96,0.50,-4.67,0.07,0.10,0.00,0.21,0.61,0.78,6.15,4.00
Black Stone Cherry,115,55,26.19,232174.50,129.13,0.88,0.44,-4.37,0.06,0.03,0.01,0.22,0.50,0.67,5.33,3.96
Black Strobe,3,36,34.00,296455.00,125.34,0.73,0.76,-7.54,0.10,0.63,0.01,0.08,0.93,0.00,11.00,4.00
Black Sun Empire,138,37,14.31,406623.12,167.65,0.93,0.55,-3.44,0.13,0.69,0.01,0.21,0.27,0.80,4.76,4.00
Black Swamp Water,5,38,23.80,276285.60,136.68,0.86,0.47,-6.54,0.05,0.01,0.00,0.16,0.53,0.80,3.60,4.00
Black Tambourine,19,25,13.79,152551.05,126.96,0.78,0.27,-6.71,0.05,0.76,0.05,0.21,0.43,0.68,5.74,3.89
Black Taxi,4,36,28.25,204227.75,119.57,0.75,0.60,-5.40,0.04,0.01,0.05,0.13,0.63,0.50,6.00,4.00
Black Tide,7,44,38.57,244059.00,156.61,0.98,0.35,-3.46,0.16,0.04,0.00,0.21,0.30,0.57,3.71,3.86
Black Tiger Sex Machine,101,51,22.23,245855.17,124.37,0.89,0.59,-3.71,0.13,0.36,0.01,0.19,0.28,0.70,4.63,3.98
Black Uhuru,39,41,16.46,293360.00,130.55,0.61,0.78,-9.55,0.07,0.12,0.07,0.18,0.77,0.31,4.95,4.00
Black V Neck,28,57,22.75,241635.86,125.43,0.88,0.80,-5.73,0.07,0.59,0.01,0.13,0.54,0.71,5.54,4.00
Black Van,5,27,21.40,354999.00,120.79,0.56,0.77,-7.99,0.06,0.63,0.00,0.08,0.59,0.60,3.20,4.00
Black Veil Brides,79,71,40.58,230107.19,135.24,0.92,0.41,-4.40,0.10,0.10,0.02,0.22,0.32,0.42,5.16,3.92
Black Water Rising,7,24,15.14,231057.14,128.89,0.93,0.27,-3.89,0.11,0.00,0.00,0.30,0.33,0.86,6.29,4.00
Black Widow,7,27,14.71,368960.00,111.53,0.58,0.34,-11.96,0.10,0.69,0.71,0.14,0.36,0.86,4.43,3.86
Black Witchery,14,21,14.00,164265.79,111.39,0.92,0.17,-6.71,0.09,0.69,0.00,0.20,0.04,0.64,3.71,3.64
Blackalicious,16,50,30.94,253132.44,108.33,0.66,0.73,-8.28,0.26,0.00,0.15,0.28,0.63,0.75,3.44,4.00
blackbear,107,81,47.08,190616.16,114.33,0.60,0.68,-6.96,0.11,0.00,0.18,0.19,0.51,0.45,5.82,3.92
Blackbeard,4,12,9.00,206506.50,126.03,0.52,0.79,-10.51,0.08,0.43,0.06,0.23,0.42,0.50,7.00,4.00
Blackberry Smoke,48,53,35.15,237085.21,121.62,0.72,0.50,-5.63,0.04,0.01,0.11,0.23,0.51,0.92,5.40,3.96
Blackbird Blackbird,33,44,23.39,178881.76,113.30,0.63,0.55,-8.67,0.08,0.56,0.35,0.18,0.38,0.85,3.67,3.88
Blackbird Raum,44,33,13.18,187010.59,128.07,0.60,0.49,-6.17,0.07,0.02,0.55,0.26,0.57,0.25,3.80,3.64
Blackbriar,29,43,32.69,245625.07,125.66,0.74,0.38,-5.67,0.05,0.03,0.04,0.22,0.21,0.28,7.00,3.93
Blackburner,9,15,9.89,260045.33,129.68,0.87,0.59,-5.45,0.07,0.44,0.02,0.24,0.33,0.56,4.44,4.00
Blackburri,14,46,32.14,205214.29,106.69,0.26,0.66,-15.41,0.09,0.88,0.85,0.27,0.32,0.29,5.86,3.86
Blackfish,13,25,11.00,339347.62,134.45,0.61,0.58,-11.41,0.09,0.65,0.09,0.14,0.41,0.31,4.92,4.08
Blackfoot,12,27,15.50,243056.67,123.62,0.85,0.47,-6.31,0.06,0.01,0.03,0.22,0.58,0.67,5.58,4.00
Blackhaine,4,18,16.75,225340.75,129.95,0.62,0.43,-8.76,0.48,0.00,0.15,0.12,0.25,0.50,7.50,4.00
BlackHawk,18,45,22.22,211882.28,122.99,0.55,0.61,-7.46,0.03,0.00,0.21,0.16,0.50,1.00,5.06,3.89
Blackie & The Rodeo Kings,3,28,25.33,231133.00,115.24,0.57,0.62,-7.99,0.03,0.11,0.37,0.10,0.56,1.00,7.00,4.00
Blacklisted,17,25,18.06,98889.06,115.72,0.97,0.29,-3.80,0.15,0.01,0.00,0.36,0.27,0.82,6.12,3.71
Blacklistt,4,34,28.00,234284.00,140.25,0.76,0.44,-6.76,0.04,0.00,0.05,0.13,0.30,0.50,6.75,4.00
Blackmill,38,52,30.34,316480.58,138.15,0.64,0.54,-9.16,0.04,0.32,0.10,0.15,0.25,0.34,5.76,4.00
Blacknuss,4,33,28.00,278843.25,103.79,0.69,0.79,-7.49,0.07,0.00,0.13,0.10,0.88,0.50,7.25,4.00
BLACKPINK,5,87,81.80,177110.00,113.41,0.69,0.80,-6.38,0.07,0.00,0.03,0.26,0.53,1.00,4.60,3.80
Blackslash,8,9,7.13,260547.88,128.43,0.93,0.48,-2.45,0.08,0.01,0.00,0.15,0.42,0.50,6.13,4.00
Blackstar Halo,3,24,13.00,264323.00,108.34,0.95,0.45,-4.88,0.08,0.00,0.00,0.22,0.28,0.67,5.67,4.00
Blackstreet,16,77,28.75,281038.88,95.84,0.62,0.71,-5.48,0.12,0.00,0.21,0.16,0.57,0.38,4.75,3.94
Blackthorn,5,13,7.00,238162.60,152.29,0.68,0.53,-7.24,0.04,0.04,0.09,0.15,0.59,0.80,3.40,4.00
Blacktop Mojo,50,54,25.82,252675.20,117.53,0.80,0.46,-5.05,0.05,0.01,0.01,0.16,0.41,0.66,5.86,3.88
Bladee,24,60,48.25,163973.42,123.46,0.59,0.59,-8.45,0.05,0.02,0.26,0.17,0.36,0.83,4.33,3.96
Blademasterz,4,31,15.75,362301.50,144.02,0.97,0.59,-5.28,0.11,0.61,0.24,0.08,0.13,0.75,6.00,4.00
Bladerunner,29,29,16.00,286697.28,148.75,0.87,0.50,-2.23,0.07,0.68,0.00,0.23,0.16,0.38,6.10,4.03
Bladverk Band,9,57,40.56,208397.44,102.65,0.15,0.48,-16.85,0.04,0.65,0.95,0.14,0.10,0.78,7.22,4.00
BLAEKER,12,33,26.58,194599.25,122.84,0.71,0.71,-6.50,0.06,0.07,0.13,0.17,0.48,0.67,5.83,4.00
Blaggards,12,50,29.58,214678.92,135.17,0.84,0.45,-8.47,0.10,0.11,0.04,0.36,0.64,0.83,6.08,3.92
Blai$y,9,49,23.00,149983.67,92.66,0.47,0.62,-11.43,0.28,0.02,0.44,0.17,0.30,0.67,4.67,4.00
Blaine Larsen,3,38,26.67,235302.00,130.62,0.66,0.64,-5.53,0.03,0.00,0.33,0.19,0.52,1.00,9.00,4.00
BLAIR ROUGE,4,17,8.75,238798.00,118.26,0.72,0.74,-8.11,0.07,0.81,0.15,0.25,0.15,0.75,3.50,4.00
Blaize,3,30,25.33,146956.67,97.46,0.79,0.65,-4.21,0.22,0.01,0.31,0.23,0.22,1.00,2.33,4.00
Blak Diamon,6,9,6.50,186922.83,120.30,0.74,0.67,-5.60,0.20,0.00,0.33,0.23,0.60,0.83,4.50,4.33
Blak Ryno,17,43,19.82,162246.59,109.46,0.73,0.73,-5.22,0.20,0.00,0.36,0.18,0.68,0.47,5.41,4.00
Blake Aaron,12,44,31.50,283503.25,103.23,0.75,0.70,-7.46,0.03,0.55,0.41,0.12,0.69,0.67,5.00,4.00
Blake Babies,7,21,12.14,213969.43,118.86,0.58,0.59,-8.71,0.03,0.01,0.16,0.30,0.55,1.00,5.57,4.00
Blake Baxter,12,22,12.67,258795.08,125.80,0.75,0.74,-11.00,0.05,0.77,0.08,0.17,0.67,0.58,3.83,3.92
Blake Rose,12,65,50.58,204460.92,141.53,0.73,0.50,-6.06,0.13,0.00,0.11,0.20,0.47,0.83,6.17,4.00
Blake Shelton,130,69,32.42,212391.43,125.91,0.71,0.58,-5.85,0.04,0.00,0.18,0.19,0.54,0.96,4.62,3.98
Blakwall,5,35,30.80,260879.80,114.65,0.57,0.53,-8.81,0.04,0.00,0.06,0.11,0.33,0.40,5.20,4.00
Blame,19,22,12.63,308930.05,148.99,0.85,0.53,-6.36,0.09,0.58,0.03,0.24,0.41,0.26,5.11,3.95
Blame Jones,15,51,35.00,174988.93,112.71,0.22,0.60,-9.74,0.04,0.00,0.90,0.13,0.32,0.67,5.33,3.73
Blameshift,4,25,20.00,223046.75,174.63,0.95,0.30,-3.63,0.23,0.00,0.07,0.20,0.29,0.75,4.50,4.00
Blamstrain,3,27,17.67,371919.67,151.60,0.24,0.42,-21.46,0.06,0.87,0.78,0.11,0.16,0.33,7.33,4.00
Blanche,3,7,6.00,256155.67,120.51,0.69,0.39,-5.15,0.04,0.00,0.31,0.15,0.51,0.67,5.33,4.00
Blanco Brown,7,67,48.00,194102.86,122.98,0.58,0.67,-8.48,0.10,0.00,0.13,0.14,0.45,1.00,4.86,3.86
Blanco White,17,66,38.88,262689.29,113.38,0.32,0.44,-12.40,0.03,0.19,0.87,0.12,0.26,0.12,4.88,3.47
Blank & Jones,146,55,15.67,320702.47,123.17,0.66,0.70,-9.34,0.05,0.65,0.11,0.20,0.47,0.42,5.62,4.00
Blank x Blank,4,45,40.75,143109.75,112.43,0.47,0.75,-7.90,0.23,0.56,0.45,0.12,0.42,0.50,6.75,3.75
Blanke,32,48,30.88,222393.34,132.91,0.85,0.54,-3.60,0.13,0.24,0.05,0.22,0.25,0.56,5.41,4.03
Blankenberge,6,26,18.33,256245.50,136.13,0.77,0.35,-6.80,0.04,0.87,0.04,0.15,0.18,1.00,3.17,4.00
Blaqk Audio,71,37,18.75,229524.48,125.92,0.83,0.60,-4.59,0.06,0.02,0.07,0.17,0.54,0.45,4.44,3.99
Blaque,5,48,38.20,224141.20,95.78,0.75,0.73,-5.29,0.10,0.00,0.05,0.15,0.81,0.20,8.20,4.00
Blasco,5,37,17.60,177654.20,151.03,0.91,0.47,-5.15,0.06,0.05,0.01,0.24,0.28,0.60,4.40,4.00
Blasterjaxx,12,65,46.92,214387.75,121.17,0.87,0.66,-4.72,0.05,0.23,0.05,0.23,0.30,0.83,5.08,3.92
Blawan,5,32,21.00,338345.80,131.81,0.80,0.82,-6.59,0.12,0.60,0.14,0.13,0.47,0.40,5.20,3.80
Blaze,32,38,13.63,407996.97,127.51,0.75,0.73,-8.72,0.06,0.44,0.02,0.15,0.65,0.50,5.47,4.00
Blaze Foley,59,50,22.02,182045.39,117.67,0.30,0.54,-12.62,0.05,0.10,0.75,0.21,0.48,0.85,5.12,3.76
Blaze Ya Dead Homie,7,37,31.57,203334.29,122.01,0.80,0.73,-4.90,0.25,0.00,0.07,0.48,0.58,0.71,5.29,4.00
Blazo,46,47,20.89,183536.24,100.66,0.62,0.67,-6.89,0.04,0.63,0.09,0.21,0.49,0.54,5.24,4.00
Bleached,34,46,21.00,189171.06,148.77,0.84,0.45,-5.04,0.05,0.17,0.03,0.23,0.65,0.79,4.65,3.97
Bleachers,31,66,44.90,211670.00,134.21,0.65,0.57,-8.09,0.08,0.06,0.27,0.21,0.45,0.87,4.03,3.94
Bleed From Within,46,53,29.89,252580.59,133.56,0.97,0.38,-4.81,0.14,0.05,0.00,0.24,0.21,0.85,5.48,3.85
Bleed The Sky,15,34,16.53,245623.27,144.25,0.96,0.33,-4.78,0.14,0.08,0.00,0.29,0.16,0.80,5.67,4.00
Bleeding Knees Club,10,28,17.90,143502.30,127.04,0.91,0.41,-1.62,0.05,0.23,0.16,0.22,0.71,0.90,6.70,4.00
Bleeding Through,82,39,15.72,219043.10,123.07,0.94,0.31,-4.98,0.13,0.09,0.00,0.26,0.22,0.61,6.94,3.78
Bleeker,12,59,27.25,199912.83,142.86,0.78,0.54,-5.61,0.05,0.00,0.05,0.15,0.61,0.92,6.33,3.92
B-Legit,34,41,15.18,231700.03,95.46,0.64,0.82,-6.23,0.27,0.00,0.11,0.17,0.60,0.59,4.50,3.97
Bleib Modern,33,40,13.30,222417.73,124.92,0.66,0.51,-10.02,0.04,0.61,0.17,0.17,0.29,0.52,5.39,4.00
Blended Colours,6,47,38.50,184590.00,123.42,0.14,0.50,-13.03,0.03,0.00,0.90,0.11,0.22,1.00,6.33,4.00
Blessed Assurance Favorite Hymns Of Inspiration And Hope Performers,17,28,18.94,245138.00,99.15,0.31,0.23,-12.23,0.03,0.00,0.93,0.15,0.22,0.94,5.65,3.41
Blessed By A Broken Heart,15,44,18.33,235270.20,145.84,0.92,0.41,-3.88,0.09,0.06,0.00,0.21,0.34,0.47,5.00,4.00
blessthefall,68,61,31.76,227192.53,131.12,0.92,0.36,-4.61,0.10,0.05,0.01,0.26,0.22,0.49,4.84,3.87
Blest By Four,7,14,11.43,292370.43,114.83,0.72,0.51,-8.44,0.15,0.00,0.20,0.24,0.58,0.57,4.14,4.00
Bleu Edmondson,9,44,25.11,262517.11,131.69,0.63,0.57,-7.28,0.03,0.01,0.08,0.12,0.48,0.78,5.33,4.00
Blind Faith,7,54,24.14,275114.29,103.60,0.48,0.43,-13.88,0.04,0.00,0.65,0.52,0.64,0.57,3.86,4.00
Blind Guardian,51,49,29.18,369708.75,134.39,0.88,0.41,-6.62,0.09,0.14,0.03,0.19,0.20,0.47,5.51,3.86
Blind Lemon Jefferson,5,18,11.00,176501.80,175.65,0.26,0.46,-13.87,0.06,0.16,0.96,0.14,0.53,0.80,4.60,4.00
Blind Melon,43,76,24.37,230650.65,122.86,0.74,0.38,-6.40,0.06,0.02,0.16,0.35,0.50,0.72,5.65,3.79
Blind Willie Johnson,15,22,8.87,188245.80,141.59,0.21,0.62,-12.94,0.11,0.03,0.99,0.16,0.60,0.87,4.47,3.73
Blind Willie McTell,25,36,11.88,183452.08,108.15,0.24,0.59,-13.66,0.08,0.02,0.93,0.15,0.62,0.84,5.20,3.92
Blind Witness,11,41,23.73,238376.27,134.67,0.99,0.40,-2.98,0.22,0.28,0.00,0.44,0.16,0.27,3.73,4.00
Blinded Colony,9,27,17.44,240906.78,114.63,0.93,0.41,-5.84,0.06,0.16,0.00,0.26,0.36,0.78,5.78,3.89
Blindside,60,47,16.30,219352.50,128.56,0.85,0.48,-5.28,0.07,0.02,0.03,0.20,0.38,0.52,5.35,3.90
Blindside Blues Band,5,28,22.00,296240.00,110.32,0.85,0.41,-7.07,0.05,0.30,0.02,0.21,0.53,0.80,6.60,4.00
Bling Dawg,5,24,14.40,186494.60,102.29,0.71,0.73,-6.70,0.26,0.00,0.29,0.20,0.81,0.60,5.40,4.00
blink-182,134,83,43.11,185290.75,135.37,0.90,0.46,-4.97,0.08,0.01,0.02,0.29,0.50,0.89,5.68,3.96
Blinkie,11,44,32.18,208846.55,123.97,0.84,0.66,-5.63,0.08,0.15,0.07,0.23,0.43,0.36,4.00,4.00
Bliss,42,43,22.10,360388.26,125.46,0.39,0.59,-14.21,0.06,0.61,0.25,0.15,0.28,0.36,4.55,4.05
Bliss n Eso,5,52,38.60,221134.20,101.43,0.83,0.64,-6.27,0.22,0.00,0.26,0.37,0.66,0.40,3.40,4.00
bliss3three,6,54,42.83,110663.67,106.89,0.72,0.51,-8.19,0.06,0.71,0.46,0.39,0.35,0.50,6.83,4.00
Blithe Field,13,34,19.38,185883.69,101.43,0.34,0.42,-16.11,0.10,0.84,0.81,0.20,0.14,0.85,6.69,3.69
Blitz Kids,7,34,25.86,211450.14,135.80,0.93,0.43,-3.74,0.11,0.00,0.00,0.19,0.37,0.71,7.29,4.00
Blitzkid,14,40,27.14,182184.00,129.46,0.93,0.41,-4.18,0.07,0.00,0.05,0.25,0.52,0.86,4.43,3.93
Blizzy,3,53,30.33,165352.00,117.77,0.72,0.71,-6.72,0.15,0.00,0.26,0.19,0.67,0.00,3.67,4.00
BLK ODYSSY,14,60,49.64,181602.36,111.13,0.58,0.55,-8.65,0.30,0.10,0.28,0.20,0.48,0.14,6.36,3.79
Blksmiith,5,53,44.40,173550.00,134.47,0.77,0.39,-9.09,0.04,0.85,0.08,0.23,0.35,0.40,4.00,4.20
BLNDR,3,26,20.33,318595.33,145.34,0.44,0.52,-18.64,0.07,0.90,0.41,0.12,0.09,0.33,7.33,4.00
Bloc Party,94,56,25.54,243702.57,142.89,0.83,0.48,-5.60,0.09,0.14,0.01,0.24,0.46,0.51,5.73,3.98
Block & Crown,62,47,25.94,287081.56,122.50,0.90,0.76,-3.66,0.08,0.22,0.01,0.09,0.74,0.60,5.81,4.00
Block 44,3,15,14.67,216847.67,77.26,0.83,0.44,-5.17,0.23,0.00,0.33,0.18,0.50,0.67,4.00,3.67
Blockhead,65,49,21.77,258360.18,116.26,0.59,0.65,-10.24,0.07,0.57,0.17,0.17,0.51,0.51,6.26,3.97
Blodhemn,3,14,13.33,213955.00,115.89,0.79,0.23,-8.53,0.14,0.91,0.00,0.36,0.08,0.67,5.33,4.00
Blodsrit,4,12,8.75,273620.00,133.28,0.98,0.18,-5.62,0.10,0.88,0.00,0.17,0.05,0.75,4.75,3.75
Blodtår,3,17,13.67,294841.67,144.84,0.68,0.18,-9.29,0.10,0.50,0.00,0.36,0.12,0.33,6.33,3.00
BLOND:ISH,43,64,25.81,360384.21,120.73,0.67,0.75,-9.29,0.05,0.64,0.04,0.19,0.48,0.49,5.88,3.86
Blonde,20,58,28.15,240318.55,122.73,0.79,0.72,-5.39,0.07,0.10,0.10,0.16,0.51,0.25,4.60,4.00
Blonde Maze,3,49,45.67,202485.67,144.63,0.60,0.51,-12.67,0.04,0.76,0.48,0.09,0.06,0.67,3.67,4.00
Blonde Redhead,40,60,27.68,246464.03,128.12,0.66,0.54,-8.33,0.04,0.37,0.21,0.14,0.40,0.40,5.13,3.70
Blonde Revolver,8,14,11.13,106348.38,135.34,0.84,0.37,-7.05,0.08,0.37,0.05,0.26,0.67,0.50,5.63,3.63
Blondie,151,73,21.11,231928.77,131.76,0.73,0.51,-8.24,0.05,0.05,0.05,0.24,0.65,0.66,5.27,3.96
Blondshell,5,50,46.00,190845.00,141.39,0.59,0.45,-6.20,0.04,0.02,0.03,0.15,0.39,0.60,5.60,3.80
Blood Axis,9,17,9.78,302540.78,120.27,0.65,0.36,-8.18,0.04,0.48,0.24,0.18,0.36,0.44,5.89,3.67
Blood Bells,3,12,9.00,237541.67,162.48,0.93,0.36,-10.92,0.04,0.76,0.00,0.25,0.79,0.67,2.67,3.00
Blood Ceremony,23,30,13.70,313745.43,134.12,0.77,0.28,-5.89,0.05,0.12,0.08,0.18,0.40,0.52,5.78,3.61
Blood Chalice,9,17,11.67,138112.33,117.72,0.92,0.36,-8.31,0.13,0.92,0.00,0.24,0.18,1.00,3.56,3.78
Blood Command,4,40,37.00,257357.50,137.85,0.94,0.41,-4.51,0.12,0.22,0.00,0.20,0.28,0.75,7.00,4.00
Blood Cultures,9,47,37.44,254349.89,101.23,0.63,0.52,-6.99,0.03,0.39,0.14,0.28,0.39,1.00,5.00,4.00
Blood Duster,11,18,10.45,99459.18,108.80,0.88,0.35,-7.60,0.12,0.52,0.00,0.35,0.40,0.55,6.91,4.00
Blood For Blood,25,38,21.96,179118.36,132.84,0.95,0.37,-3.81,0.13,0.03,0.01,0.49,0.37,0.76,4.12,4.00
Blood Groove & Kikis,18,18,10.17,415898.00,125.39,0.66,0.71,-7.72,0.05,0.74,0.01,0.36,0.50,0.28,6.28,4.00
Blood Has Been Shed,18,18,9.39,169390.44,117.17,0.92,0.28,-4.29,0.12,0.15,0.00,0.35,0.32,0.72,4.67,3.67
Blood Incantation,8,30,24.75,496456.38,109.12,0.88,0.22,-8.48,0.07,0.86,0.00,0.22,0.14,0.50,4.50,3.75
Blood Music,4,16,12.25,278096.25,123.05,0.48,0.55,-10.25,0.05,0.07,0.14,0.16,0.42,0.50,4.50,4.00
Blood Of Kingu,3,8,6.00,382875.33,118.94,0.69,0.19,-4.30,0.15,0.93,0.00,0.16,0.04,0.00,9.00,3.33
Blood or Whiskey,15,24,14.53,149111.33,134.98,0.79,0.51,-7.73,0.07,0.05,0.18,0.15,0.77,0.53,5.27,3.93
